Question,Expected response
¿Cuál es el plazo de devolución para compras online?,45 días naturales; devoluciones voluntarias; desde la entrega
¿Qué productos no admiten devolución voluntaria?,a medida; OUTLET; tarjetas regalo; servicios
¿Cómo se reembolsa un pago mixto tarjeta + efectivo?,primero a tarjeta; resto en efectivo
¿Qué significa ventas netas y cómo se calcula?,Ventas brutas - descuentos - descuento por puntos - devoluciones
¿Qué es stock disponible?,stock en mano - reservado - bloqueado
¿Qué plazo tengo para reportar un daño en transporte?,72 horas
¿Qué hago si el cliente no tiene ticket?,buscar por fidelización; aprobación del Store Manager
¿En qué casos se debe escalar una devolución por sospecha de fraude?,patrones anómalos; prevención de pérdidas
¿Qué información debe incluir una respuesta del asistente sobre un KPI?,citar fuente; fórmula; periodo; canal
¿Qué tier tiene derecho a una excepción de devolución por semestre?,Oro; Platino
