CustomerID,Tier,JoinDate,City,ConsentMarketing
C0001,Bronce,2025-11-11,Madrid,Sí
C0002,Plata,2023-06-21,Bilbao,Sí
C0003,Bronce,2025-08-10,Bilbao,Sí
C0004,Plata,2023-01-23,Barcelona,No
C0005,Oro,2023-08-22,Bilbao,Sí
C0006,Bronce,2023-12-01,Barcelona,Sí
C0007,Bronce,2023-11-17,Madrid,Sí
C0008,Bronce,2023-11-18,Madrid,Sí
C0009,Plata,2025-05-13,Zaragoza,Sí
C0010,Plata,2024-10-13,Zaragoza,Sí
C0011,Plata,2023-07-07,Madrid,Sí
C0012,Platino,2025-11-28,Barcelona,No
C0013,Bronce,2023-04-18,Madrid,Sí
C0014,Bronce,2023-05-15,Madrid,Sí
C0015,Bronce,2025-09-27,Valencia,Sí
C0016,Plata,2023-12-09,Madrid,Sí
C0017,Plata,2023-07-23,Bilbao,No
C0018,Oro,2025-10-30,Barcelona,No
C0019,Plata,2025-10-11,Valencia,Sí
C0020,Bronce,2023-02-19,Zaragoza,Sí
C0021,Bronce,2023-10-26,Sevilla,No
C0022,Bronce,2023-11-06,Barcelona,Sí
C0023,Bronce,2025-06-01,Bilbao,Sí
C0024,Platino,2025-04-29,Barcelona,Sí
C0025,Bronce,2025-06-16,Zaragoza,Sí
C0026,Plata,2025-04-28,Bilbao,Sí
C0027,Bronce,2023-05-08,Bilbao,No
C0028,Plata,2023-12-30,Sevilla,Sí
C0029,Bronce,2023-12-24,Barcelona,Sí
C0030,Plata,2025-09-02,Sevilla,Sí
C0031,Bronce,2025-02-23,Sevilla,No
C0032,Plata,2025-04-28,Barcelona,Sí
C0033,Plata,2024-04-15,Madrid,Sí
C0034,Bronce,2023-02-04,Madrid,Sí
C0035,Bronce,2024-07-13,Zaragoza,No
C0036,Bronce,2024-03-27,Sevilla,No
C0037,Bronce,2023-03-26,Valencia,Sí
C0038,Bronce,2025-10-19,Sevilla,No
C0039,Plata,2025-08-16,Sevilla,No
C0040,Bronce,2025-09-08,Sevilla,Sí
C0041,Oro,2025-09-12,Zaragoza,Sí
C0042,Bronce,2023-09-08,Madrid,Sí
C0043,Oro,2025-08-04,Zaragoza,Sí
C0044,Plata,2024-04-04,Zaragoza,Sí
C0045,Bronce,2024-01-07,Zaragoza,No
C0046,Bronce,2024-07-24,Madrid,Sí
C0047,Bronce,2025-12-04,Madrid,No
C0048,Bronce,2024-06-30,Sevilla,Sí
C0049,Bronce,2023-02-10,Zaragoza,Sí
C0050,Plata,2023-02-26,Valencia,Sí
C0051,Oro,2023-09-21,Madrid,Sí
C0052,Plata,2025-12-20,Barcelona,Sí
C0053,Plata,2025-04-17,Barcelona,Sí
C0054,Plata,2024-02-09,Barcelona,Sí
C0055,Plata,2024-08-12,Bilbao,Sí
C0056,Oro,2023-12-19,Sevilla,Sí
C0057,Bronce,2024-10-11,Barcelona,Sí
C0058,Bronce,2024-07-17,Sevilla,Sí
C0059,Plata,2023-07-11,Barcelona,Sí
C0060,Bronce,2025-10-27,Valencia,Sí
